时间,通道 A
(us),(mV)

-0.01040000,0.00000000
-0.00520000,-0.08806262
0.00000000,0.03913894
0.00520000,-0.14677103
0.01040000,-0.04892368
0.01560000,-0.02935421
0.02080000,-0.07827789
0.02600000,-0.03913894
0.03120000,-0.12720156
0.03640000,0.03913894
0.04160000,-0.01956947
0.04680000,0.01956947
0.05200000,-0.07827789
0.05719999,-0.00978474
0.06239999,-0.01956947
0.06759999,-0.02935421
0.07279999,-0.06849315
0.07799999,-0.02935421
0.08319999,-0.03913894
0.08839999,-0.08806262
0.09359999,0.04892368
0.09879999,-0.02935421
0.10399999,0.00000000
0.10919999,-0.07827789
0.11439999,0.00000000
0.11959999,-0.07827789
0.12479999,-0.14677103
0.12999999,0.00978474
0.13519999,-0.09784736
0.14039999,0.00978474
0.14559999,-0.05870841
0.15079999,-0.03913894
0.15599999,-0.03913894
0.16119999,0.06849315
0.16639999,0.02935421
0.17159998,-0.07827789
0.17679998,-0.07827789
0.18199998,-0.02935421
0.18719998,-0.10763209
0.19239998,-0.05870841
0.19759998,0.01956947
0.20279998,0.00000000
0.20799998,-0.01956947
0.21319998,-0.07827789
0.21839998,0.11741682
0.22359998,-0.01956947
0.22879998,-0.04892368
0.23399998,-0.11741682
0.23919998,-0.06849315
0.24439998,0.00000000
0.24959998,0.01956947
0.25479998,-0.03913894
0.25999998,-0.14677103
0.26519998,-0.01956947
0.27039998,-0.02935421
0.27559998,-0.08806262
0.28079998,-0.04892368
0.28599997,-0.03913894
0.29119997,-0.02935421
0.29639997,-0.07827789
0.30159997,0.07827789
0.30679997,0.02935421
0.31199997,-0.10763209
0.31719997,0.01956947
0.32239997,-0.02935421
0.32759997,-0.02935421
0.33279997,0.02935421
0.33799997,0.01956947
0.34319997,-0.05870841
0.34839997,0.03913894
0.35359997,0.00000000
0.35879997,-0.06849315
0.36399997,-0.04892368
0.36919997,-0.07827789
0.37439997,-0.06849315
0.37959997,0.00000000
0.38479997,0.02935421
0.38999997,0.03913894
0.39519997,-0.05870841
0.40039996,-0.12720156
0.40559996,-0.11741682
0.41079996,0.01956947
0.41599996,-0.07827789
0.42119996,-0.14677103
0.42639996,-0.06849315
0.43159996,-0.11741682
0.43679996,0.04892368
0.44199996,-0.10763209
0.44719996,-0.06849315
0.45239996,-0.11741682
0.45759996,-0.04892368
0.46279996,-0.06849315
0.46799996,-0.00978474
0.47319996,-0.08806262
0.47839996,-0.03913894
0.48359996,-0.05870841
0.48879996,0.02935421
0.49399996,0.00978474
0.49919996,-0.07827789
0.50439996,0.00978474
0.50959996,0.02935421
0.51479995,0.03913894
0.51999995,-0.03913894
0.52519995,-0.04892368
0.53039995,-0.07827789
0.53559995,-0.11741682
0.54079995,-0.00978474
0.54599995,0.00978474
0.55119995,0.02935421
0.55639995,-0.18590997
0.56159995,-0.07827789
0.56679995,-0.06849315
0.57199995,-0.06849315
0.57719995,-0.04892368
0.58239995,-0.08806262
0.58759995,-0.09784736
0.59279995,-0.05870841
0.59799995,-0.04892368
0.60319995,-0.02935421
0.60839995,-0.06849315
0.61359995,-0.11741682
0.61879995,0.02935421
0.62399995,0.00000000
0.62919994,0.01956947
0.63439994,-0.10763209
0.63959994,-0.04892368
0.64479994,-0.02935421
0.64999994,0.06849315
0.65519994,0.00978474
0.66039994,-0.05870841
0.66559994,-0.14677103
0.67079994,0.02935421
0.67599994,-0.08806262
0.68119994,-0.04892368
0.68639994,-0.09784736
0.69159994,-0.05870841
0.69679994,-0.07827789
0.70199994,-0.05870841
0.70719994,-0.03913894
0.71239994,0.00978474
0.71759994,-0.05870841
0.72279994,-0.09784736
0.72799994,-0.09784736
0.73319994,-0.14677103
0.73839993,-0.00978474
0.74359993,-0.06849315
0.74879993,-0.00978474
0.75399993,-0.15655577
0.75919993,-0.07827789
0.76439993,0.01956947
0.76959993,0.00000000
0.77479993,-0.04892368
0.77999993,-0.12720156
0.78519993,-0.07827789
0.79039993,0.01956947
0.79559993,-0.05870841
0.80079993,0.03913894
0.80599993,-0.04892368
0.81119993,-0.07827789
0.81639993,-0.03913894
0.82159993,0.03913894
0.82679993,0.01956947
0.83199993,-0.07827789
0.83719993,-0.01956947
0.84239993,0.00978474
0.84759993,-0.02935421
0.85279992,-0.07827789
0.85799992,0.02935421
0.86319992,-0.12720156
0.86839992,-0.02935421
0.87359992,-0.07827789
0.87879992,-0.14677103
0.88399992,-0.06849315
0.88919992,-0.08806262
0.89439992,-0.01956947
0.89959992,-0.02935421
0.90479992,-0.02935421
0.90999992,-0.07827789
0.91519992,-0.04892368
0.92039992,0.06849315
0.92559992,-0.01956947
0.93079992,0.00978474
0.93599992,0.01956947
0.94119992,0.02935421
0.94639992,0.09784736
0.95159992,-0.04892368
0.95679992,-0.02935421
0.96199992,-0.13698630
0.96719991,0.00978474
0.97239991,-0.09784736
0.97759991,-0.08806262
0.98279991,-0.02935421
0.98799991,-0.07827789
0.99319991,-0.07827789
0.99839991,-0.04892368
1.00359991,-0.05870841
1.00879991,-0.00978474
1.01399991,-0.03913894
1.01919991,-0.08806262
1.02439991,-0.03913894
1.02959991,0.00978474
1.03479991,-0.11741682
1.03999991,-0.10763209
1.04519991,-0.03913894
1.05039991,-0.02935421
1.05559991,-0.10763209
1.06079991,-0.10763209
1.06599991,-0.07827789
1.07119991,-0.11741682
1.07639991,-0.00978474
1.08159990,-0.03913894
1.08679990,0.00978474
1.09199990,-0.06849315
1.09719990,-0.00978474
1.10239990,-0.05870841
1.10759990,0.02935421
1.11279990,0.01956947
1.11799990,-0.18590997
1.12319990,-0.08806262
1.12839990,0.02935421
1.13359990,-0.01956947
1.13879990,-0.13698630
1.14399990,-0.08806262
1.14919990,0.02935421
1.15439990,-0.02935421
1.15959990,-0.00978474
1.16479990,-0.13698630
1.16999990,-0.02935421
1.17519990,-0.05870841
1.18039990,0.00000000
1.18559990,-0.03913894
1.19079990,-0.13698630
1.19599989,-0.06849315
1.20119989,0.12720156
1.20639989,-0.04892368
1.21159989,-0.07827789
1.21679989,-0.03913894
1.22199989,-0.07827789
1.22719989,-0.03913894
1.23239989,-0.03913894
1.23759989,-0.10763209
1.24279989,-0.06849315
1.24799989,-0.06849315
1.25319989,-0.09784736
1.25839989,0.04892368
1.26359989,-0.03913894
1.26879989,0.02935421
1.27399989,0.01956947
1.27919989,-0.02935421
1.28439989,-0.07827789
1.28959989,0.00000000
1.29479989,-0.05870841
1.29999989,-0.07827789
1.30519989,-0.13698630
1.31039988,-0.05870841
1.31559988,-0.01956947
1.32079988,0.00978474
1.32599988,-0.03913894
1.33119988,-0.00978474
1.33639988,-0.01956947
1.34159988,-0.03913894
1.34679988,0.00000000
1.35199988,-0.02935421
1.35719988,-0.01956947
1.36239988,0.00978474
1.36759988,-0.04892368
1.37279988,-0.05870841
1.37799988,-0.03913894
1.38319988,0.02935421
1.38839988,-0.05870841
1.39359988,-0.02935421
1.39879988,-0.07827789
1.40399988,0.06849315
1.40919988,-0.05870841
1.41439988,-0.09784736
1.41959987,-0.11741682
1.42479987,-0.03913894
1.42999987,-0.00978474
1.43519987,-0.06849315
1.44039987,0.00978474
1.44559987,-0.06849315
1.45079987,-0.04892368
1.45599987,-0.06849315
1.46119987,0.00000000
1.46639987,-0.05870841
1.47159987,-0.07827789
1.47679987,-0.07827789
1.48199987,-0.15655577
1.48719987,-0.07827789
1.49239987,-0.14677103
1.49759987,-0.02935421
1.50279987,-0.02935421
1.50799987,0.00978474
1.51319987,-0.02935421
1.51839987,-0.05870841
1.52359987,-0.09784736
1.52879987,-0.09784736
1.53399986,-0.11741682
1.53919986,0.01956947
1.54439986,-0.05870841
1.54959986,-0.08806262
1.55479986,0.00000000
1.55999986,0.02935421
1.56519986,-0.02935421
1.57039986,-0.05870841
1.57559986,-0.06849315
1.58079986,0.07827789
1.58599986,-0.03913894
1.59119986,-0.02935421
1.59639986,-0.05870841
1.60159986,0.00978474
1.60679986,0.04892368
1.61199986,-0.04892368
1.61719986,0.03913894
1.62239986,-0.00978474
1.62759986,-0.05870841
1.63279986,-0.07827789
1.63799986,0.01956947
1.64319986,-0.02935421
1.64839985,-0.01956947
1.65359985,-0.07827789
1.65879985,0.00978474
1.66399985,-0.13698630
1.66919985,-0.03913894
1.67439985,-0.10763209
1.67959985,-0.11741682
1.68479985,-0.05870841
1.68999985,-0.00978474
1.69519985,0.06849315
1.70039985,-0.13698630
1.70559985,-0.11741682
1.71079985,0.00000000
1.71599985,0.00978474
1.72119985,0.04892368
1.72639985,-0.07827789
1.73159985,-0.07827789
1.73679985,0.01956947
1.74199985,-0.03913894
1.74719985,0.00000000
1.75239985,-0.08806262
1.75759985,0.00978474
1.76279984,-0.04892368
1.76799984,-0.02935421
1.77319984,-0.08806262
1.77839984,0.00978474
1.78359984,-0.11741682
1.78879984,0.01956947
1.79399984,-0.08806262
1.79919984,-0.04892368
1.80439984,-0.05870841
1.80959984,-0.04892368
1.81479984,0.00978474
1.81999984,-0.06849315
1.82519984,-0.00978474
1.83039984,-0.03913894
1.83559984,-0.08806262
1.84079984,-0.06849315
1.84599984,0.03913894
1.85119984,0.00000000
1.85639984,-0.08806262
1.86159984,-0.00978474
1.86679984,-0.02935421
1.87199984,-0.01956947
1.87719983,-0.06849315
1.88239983,-0.03913894
1.88759983,0.00000000
1.89279983,-0.09784736
1.89799983,0.02935421
1.90319983,-0.02935421
1.90839983,0.08806262
1.91359983,-0.09784736
1.91879983,0.04892368
1.92399983,-0.04892368
1.92919983,-0.06849315
1.93439983,0.01956947
1.93959983,0.00978474
1.94479983,-0.00978474
1.94999983,-0.05870841
1.95519983,-0.02935421
1.96039983,-0.11741682
1.96559983,-0.05870841
1.97079983,-0.12720156
1.97599983,0.00000000
1.98119983,0.00978474
1.98639983,-0.01956947
1.99159982,0.01956947
1.99679982,-0.03913894
2.00199982,-0.10763209
2.00719982,-0.00978474
2.01239982,-0.02935421
2.01759982,-0.03913894
2.02279982,0.05870841
2.02799982,-0.00978474
2.03319982,-0.08806262
2.03839982,-0.03913894
2.04359982,0.01956947
2.04879982,-0.05870841
2.05399982,-0.01956947
2.05919982,-0.03913894
2.06439982,-0.05870841
2.06959982,-0.07827789
2.07479982,0.00978474
2.07999982,-0.07827789
2.08519982,0.00000000
2.09039982,-0.04892368
2.09559982,-0.11741682
2.10079981,0.14677103
2.10599981,-0.00978474
2.11119981,0.05870841
2.11639981,-0.04892368
2.12159981,-0.09784736
2.12679981,-0.03913894
2.13199981,-0.04892368
2.13719981,-0.02935421
2.14239981,-0.07827789
2.14759981,-0.06849315
2.15279981,-0.02935421
2.15799981,0.00978474
2.16319981,-0.04892368
2.16839981,-0.05870841
2.17359981,0.00978474
2.17879981,-0.03913894
2.18399981,-0.08806262
2.18919981,-0.00978474
2.19439981,-0.13698630
2.19959981,-0.06849315
2.20479981,-0.07827789
2.20999981,0.06849315
2.21519980,0.00000000
2.22039980,-0.07827789
2.22559980,0.01956947
2.23079980,0.04892368
2.23599980,0.00978474
2.24119980,-0.03913894
2.24639980,0.00978474
2.25159980,-0.04892368
2.25679980,0.00000000
2.26199980,0.00000000
2.26719980,0.01956947
2.27239980,-0.08806262
2.27759980,-0.06849315
2.28279980,-0.00978474
2.28799980,-0.04892368
2.29319980,0.09784736
2.29839980,-0.07827789
2.30359980,-0.10763209
2.30879980,0.00978474
2.31399980,0.00000000
2.31919980,-0.01956947
2.32439980,-0.03913894
2.32959979,0.00000000
2.33479979,-0.09784736
2.33999979,-0.10763209
2.34519979,-0.00978474
2.35039979,-0.06849315
2.35559979,-0.03913894
2.36079979,-0.06849315
2.36599979,-0.13698630
2.37119979,-0.03913894
2.37639979,0.00000000
2.38159979,-0.00978474
2.38679979,0.07827789
2.39199979,-0.04892368
2.39719979,-0.00978474
2.40239979,-0.12720156
2.40759979,-0.06849315
2.41279979,-0.08806262
2.41799979,0.08806262
2.42319979,-0.01956947
2.42839979,-0.02935421
2.43359979,0.02935421
2.43879979,-0.04892368
2.44399978,-0.01956947
2.44919978,0.00978474
2.45439978,-0.05870841
2.45959978,-0.02935421
2.46479978,-0.01956947
2.46999978,-0.03913894
2.47519978,-0.05870841
2.48039978,-0.02935421
2.48559978,-0.08806262
2.49079978,0.00978474
2.49599978,-0.06849315
2.50119978,0.04892368
2.50639978,-0.03913894
2.51159978,-0.00978474
2.51679978,-0.07827789
2.52199978,-0.00978474
2.52719978,-0.10763209
2.53239978,-0.04892368
2.53759978,-0.09784736
2.54279978,-0.09784736
2.54799978,0.01956947
2.55319978,-0.02935421
2.55839977,-0.01956947
2.56359977,0.01956947
2.56879977,-0.03913894
2.57399977,-0.07827789
2.57919977,-0.00978474
2.58439977,-0.07827789
2.58959977,-0.03913894
2.59479977,0.00978474
2.59999977,-0.00978474
2.60519977,-0.06849315
2.61039977,-0.08806262
2.61559977,-0.10763209
2.62079977,-0.06849315
2.62599977,-0.02935421
2.63119977,0.06849315
2.63639977,0.03913894
2.64159977,-0.00978474
2.64679977,0.00978474
2.65199977,-0.08806262
2.65719977,-0.05870841
2.66239977,-0.00978474
2.66759977,-0.06849315
